dataset,PHIT,HC2,Hydra+MultiRocket
ACSF1,0.9,0.93,0.832667
Computers,0.8,0.764,0.8624
ElectricDevices,0.717805732071067,0.757618986,0.903886
HouseTwenty,0.983193277310924,0.966386555,0.977311
LargeKitchenAppliances,0.896,0.906666667,0.941333
RefrigerationDevices,0.570666666666667,0.538666667,0.748533
ScreenType,0.610666666666667,0.578666667,0.677867
SmallKitchenAppliances,0.778666666666667,0.837333333,0.836622
CinCECGTorso,0.839855072463768,1,0.969589
ECG200,0.91,0.89,0.891667
ECG5000,0.937777777777778,0.947111111,0.947348
ECGFiveDays,1,1,0.995703
NonInvasiveFetalECGThorax1,0.963867684478372,0.947073791,0.96207
NonInvasiveFetalECGThorax2,0.969465648854962,0.967430025,0.968092
TwoLeadECG,0.997366110623354,0.999122037,0.997922
Adiac,0.856777493606138,0.813299233,0.823956
ArrowHead,0.828571428571429,0.862857143,0.897143
BeetleFly,0.85,0.95,0.906667
BirdChicken,0.9,0.9,0.896667
DiatomSizeReduction,0.950980392156863,0.95751634,0.952179
DistalPhalanxTW,0.661870503597122,0.705035971,0.696882
FaceFour,0.931818181818182,1,0.900758
FacesUCR,0.953658536585366,0.963414634,0.969593
Fish,0.988571428571428,0.988571429,0.98419
HandOutlines,0.959459459459459,0.937837838,0.95045
Herring,0.765625,0.671875,0.610417
MedicalImages,0.788157894736842,0.807894737,0.80864
MiddlePhalanxTW,0.519480519480519,0.558441558,0.551515
OSULeaf,0.987603305785124,0.962809917,0.969008
PhalangesOutlinesCorrect,0.858974358974359,0.831002331,0.855478
ProximalPhalanxTW,0.790243902439024,0.829268293,0.80065
ShapesAll,0.92,0.921666667,0.948278
SwedishLeaf,0.9824,0.9648,0.974453
Symbols,0.981909547738693,0.975879397,0.972362
WordSynonyms,0.746081504702194,0.752351097,0.788871
Yoga,0.956333333333333,0.934,0.937322
Crop,0.773333333333333,0.765119048,0.776909
MixedShapesSmallTrain,0.948041237113402,0.958762887,0.95644
CricketX,0.871794871794872,0.825641026,0.825128
CricketY,0.866666666666667,0.851282051,0.851709
CricketZ,0.915384615384615,0.864102564,0.843162
Haptics,0.613636363636364,0.545454545,0.531926
InlineSkate,0.532727272727273,0.552727273,0.508121
ToeSegmentation1,0.956140350877193,0.964912281,0.929386
ToeSegmentation2,0.946153846153846,0.938461538,0.943846
UWaveGestureLibraryAll,0.940256839754327,0.974316025,0.984683
UWaveGestureLibraryX,0.845616973757677,0.85455053,0.878038
UWaveGestureLibraryY,0.798715801228364,0.774706868,0.81314
UWaveGestureLibraryZ,0.808486878838638,0.797319933,0.821608
Worms,0.805194805194805,0.753246753,0.741991
GunPointAgeSpan,0.993670886075949,0.996835443,0.996203
Car,0.9,0.916666667,0.926111
ChlorineConcentration,0.851302083333333,0.771354167,0.783464
Earthquakes,0.741007194244604,0.748201439,0.744125
FordA,0.962121212121212,0.953787879,0.956162
FordB,0.845679012345679,0.830864198,0.929424
InsectWingbeatSound,0.651010101010101,0.662626263,0.664899
ItalyPowerDemand,0.968901846452867,0.971817298,0.964043
Lightning2,0.754098360655738,0.786885246,0.757377
Lightning7,0.876712328767123,0.821917808,0.80411
MoteStrain,0.881789137380192,0.970447284,0.907188
Phoneme,0.345464135021097,0.355485232,0.367423
Plane,1,1,1
SonyAIBORobotSurface1,0.86522462562396,0.908485857,0.948697
SonyAIBORobotSurface2,0.908709338929696,0.929695698,0.950542
StarLightCurves,0.979237493929092,0.98215153,0.981524
Trace,1,1,1
Wafer,0.999026606099935,1,0.999811
FreezerSmallTrain,0.834385964912281,0.998947368,0.991404
CBF,0.995555555555555,1,0.993259
Mallat,0.957782515991471,0.97782516,0.954513
ShapeletSim,0.994444444444444,1,1
SyntheticControl,0.996666666666667,1,0.994667
TwoPatterns,1,1,0.999992
BME,0.993333333333333,1,1
SmoothSubspace,0.973333333333333,0.986666667,0.980222
UMD,0.993055555555556,0.993055556,0.984954
Beef,0.666666666666667,0.866666667,0.782222
Coffee,1,1,1
Ham,0.752380952380952,0.695238095,0.850159
Meat,0.933333333333333,0.933333333,0.985556
OliveOil,0.833333333333333,0.933333333,0.912222
Strawberry,0.983783783783784,0.975675676,0.97973
Wine,0.666666666666667,0.87037037,0.930247
EthanolLevel,0.782,0.696,0.724
Chinatown,0.915451895043732,0.982507289,0.967055
